day,counts.sweden,counts.queen,counts.biden,counts.covid-19,counts.edward snowden,counts.nasa,counts.italy,counts.trump,counts.james webb space telescope,counts.israel,counts.ukraine,counts.donbas,counts.putin,counts.palestine,counts.iran,counts.eurobasket,counts.russia,counts.liz truss,counts.king charles,counts.hurricane ian
2022-09-01,1502,13896,6859,1190,37,2280,2686,21950,12,2770,7476,137,5148,269,3620,62,25319,130,17,0.0
2022-09-02,1391,13557,16862,1117,21,2190,2522,28695,15,2687,7026,108,4608,290,3473,74,22944,101,31,0.0
2022-09-03,1432,12383,10665,825,16,2645,2157,20317,12,3488,6480,117,4000,369,2611,64,19498,123,16,0.0
2022-09-04,1669,13720,7895,887,18,2914,2589,17869,6,3399,7012,172,4410,391,3128,86,22553,259,36,0.0
2022-09-05,1625,14169,6601,943,15,2404,2816,18250,5,3385,6697,135,3942,410,3942,76,21247,1004,29,0.0
2022-09-06,1773,14255,7642,935,20,2491,2846,19695,4,3337,7929,141,4368,358,3353,104,23094,685,23,0.0
2022-09-07,1920,14531,6393,1145,24,2413,2834,20572,4,3355,8099,212,5296,283,3758,118,24785,567,21,0.0
2022-09-08,1828,69410,5585,998,19,2236,2583,16831,9,3575,8923,175,5144,420,3368,92,23351,1622,2216,0.0
2022-09-09,1548,74276,5165,976,20,2093,2344,17145,8,3005,10053,199,4990,364,3217,126,25050,714,2024,0.0
2022-09-10,1432,38123,4280,895,19,2072,2465,12221,6,2543,13401,417,5495,331,3293,98,29593,243,1127,0.0
2022-09-11,1747,32410,4119,807,15,2138,3238,13397,6,3061,12766,314,6012,366,3353,102,28139,192,910,0.0
2022-09-12,2366,23485,4227,916,18,2214,2271,14800,8,2807,11633,273,6041,311,2977,45,28949,112,626,0.0
2022-09-13,2056,24346,5169,934,18,2333,2575,15651,9,3314,12337,205,6271,403,3761,114,30918,137,657,0.0
2022-09-14,1906,23927,5337,1018,22,2282,3186,14821,11,2914,11468,178,6688,333,3486,127,30754,104,698,0.0
2022-09-15,2186,20971,6149,950,18,2484,2594,14157,14,3255,10336,136,6443,395,3757,57,29106,118,486,0.0
2022-09-16,1859,20778,6575,1024,30,2206,2498,15306,4,3480,10344,168,5744,392,3832,74,25671,81,478,0.0
2022-09-17,1595,19789,5549,909,8,2007,2450,11875,2,2757,8891,150,5410,298,3680,33,23321,93,396,0.0
2022-09-18,1630,20877,4431,787,10,2479,2564,11415,7,2721,8593,157,4515,343,3561,91,21976,89,369,0.0
2022-09-19,1596,26439,7315,996,12,2220,2591,13682,7,2611,8850,195,4547,304,3824,58,23094,137,456,0.0
2022-09-20,1805,20300,6739,1039,14,2063,2622,17021,8,2846,10757,318,8089,261,5372,18,31205,232,388,0.0
2022-09-21,1876,17430,6842,1104,23,2524,2551,17742,6,3058,15540,385,15628,358,9815,10,49529,193,250,0.0
2022-09-22,1716,16507,5973,914,32,2176,2698,23412,9,2906,12478,316,11260,314,10736,16,39550,178,197,0.0
2022-09-23,1493,14254,5039,945,32,1767,2996,14611,6,2959,11825,247,9196,325,12639,9,36244,241,181,9.0
2022-09-24,1545,14238,5308,787,6,1891,2848,13224,6,5115,10196,205,7467,550,9599,15,29402,176,160,31.0
2022-09-25,1802,15232,4881,731,28,2119,3876,13285,7,3272,10618,245,7904,364,9513,7,29783,212,135,65.0
2022-09-26,1669,17340,4879,901,186,2580,6702,12991,6,3189,11235,216,9325,341,7929,24,35774,390,199,209.0
2022-09-27,1911,15571,6232,952,124,3514,5551,12388,11,2964,12907,255,10633,299,6721,34,45377,288,170,451.0
2022-09-28,1813,14511,7808,920,97,2452,4262,13902,5,2753,13179,297,10360,323,5187,27,46681,391,155,857.0
2022-09-29,1926,14601,7443,970,50,2563,3703,13640,4,3009,12797,265,9797,368,4916,18,40238,681,177,932.0
2022-09-30,1683,12178,5962,890,34,2060,2991,13053,5,2875,15840,282,13098,338,4378,12,41346,467,158,881.0
