day,count
2022-09-01,7765487
2022-09-02,7621634
2022-09-03,6763626
2022-09-04,7284177
2022-09-05,7315402
2022-09-06,7623831
2022-09-07,7883333
2022-09-08,7737344
2022-09-09,7642507
2022-09-10,7243013
2022-09-11,7682911
2022-09-12,6701142
2022-09-13,7820399
2022-09-14,7802754
2022-09-15,7687538
2022-09-16,7628870
2022-09-17,7236131
2022-09-18,7785097
2022-09-19,7573263
2022-09-20,7563461
2022-09-21,7873849
2022-09-22,7716073
2022-09-23,6854161
2022-09-24,6906173
2022-09-25,7328032
2022-09-26,7559516
2022-09-27,7648878
2022-09-28,7583449
2022-09-29,7570416
2022-09-30,7373763
